band,access_class,doi,work_id,year,oa_status,detail,title
identified_core,oa_but_blocked,https://doi.org/10.1596/1813-9450-4502,W2160091333,2008,green,not_pdf_html_paywall,Does Hepatitis B Infection Or Son Preference Explain The Bulk Of Gender Imbalance In China? : A Review Of The Evidence
identified_core,oa_but_blocked,https://doi.org/10.1136/bmjopen-2021-052343,W3211253038,2021,gold,"not_pdf_html_paywall,empty_or_tiny",Sex ratios and ‘missing women’ among Asian minority and migrant populations in Aotearoa/New Zealand: a retrospective coh
identified_core,oa_but_blocked,,W2175768736,2015,green,not_pdf_html_paywall,Religion and son preference in India and Bangladesh: Three essays on comparing Hindus and Muslims on son preference and 
identified_core,oa_but_blocked,https://doi.org/10.1186/s41118-024-00217-0,W4396767233,2024,gold,not_pdf_html_paywall,Gender composition of children and desires for the next child in “son preference” countries
identified_core,oa_but_blocked,https://doi.org/10.3982/qe2088,W4317434379,2023,diamond,"empty_or_tiny,not_pdf_html_paywall",The demographic consequences of sex‐selection technology
identified_core,oa_but_blocked,https://doi.org/10.1186/2193-9039-2-10,W2133513604,2013,hybrid,not_pdf_html_paywall,Missing women in the United Kingdom
identified_core,oa_but_blocked,https://doi.org/10.1080/00324728.2022.2027003,W4210854838,2022,green,"not_pdf_html_paywall,empty_or_tiny",Preferences for a mixed-sex composition of offspring: A multigenerational approach
identified_core,oa_but_blocked,https://doi.org/10.1016/j.ssmph.2017.10.003,W2765959725,2017,gold,"not_pdf_html_paywall,empty_or_tiny",Fertility behaviors in South Korea and their association with ultrasound prenatal sex screening
identified_core,oa_but_blocked,https://doi.org/10.35188/unu-wider/2017/385-1,W4231452854,2017,bronze,empty_or_tiny,"The effect of China’s One Child Policy on sex selection, family size, and the school enrolment of daughters"
identified_core,oa_but_blocked,,W2336368475,2016,green,not_pdf_html_paywall,A demographic history of settler South Africa
identified_core,oa_but_blocked,https://doi.org/10.1080/00220388.2024.2354230,W4398782499,2024,green,empty_or_tiny,Son Targeting Fertility Behaviour in Albania
identified_core,oa_but_blocked,https://doi.org/10.1007/s10680-023-09655-6,W4366351506,2023,hybrid,"not_pdf_html_paywall,empty_or_tiny",Explaining Residential Clustering of Large Families
identified_core,oa_but_blocked,https://doi.org/10.1596/1813-9450-6802,W3121579767,2014,green,"curl_error:28,not_pdf_html_paywall",Why are Adult Women Missing? Son Preference and Maternal Survival in India
identified_core,oa_but_blocked,https://doi.org/10.1215/00703370-11798263,W4407172282,2025,gold,not_pdf_html_paywall,"Prenatal Care, Son Preference, and the Sex Ratio at Birth"
