band,access_class,doi,work_id,year,oa_status,detail,title
identified_core,closed,https://doi.org/10.2307/2533379,W2317662742,1994,closed,closed,Models Relating the Timing of Intercourse to the Probability of Conception and the Sex of the Baby
identified_core,closed,https://doi.org/10.1002/sim.716,W2062485610,2001,closed,closed,Assessing human fertility using several markers of ovulation
identified_core,closed,https://doi.org/10.1080/0032472031000142356,W2090098666,1986,closed,closed,"Seasonal Patterns of Reproduction in Matlab, Bangladesh"
identified_core,closed,https://doi.org/10.2307/2060912,W1964534630,1984,closed,closed,A demonstration of the effect of seasonal migration on fertility
identified_core,closed,https://doi.org/10.1093/humrep/16.11.2278,W2134369447,2001,closed,closed,The relationship between cervical secretions and the daily probabilities of pregnancy: effectiveness of the TwoDay Algor
identified_core,closed,https://doi.org/10.1093/oxfordjournals.humrep.a135932,W2312945741,1995,closed,closed,Endocrinology: The sex of the baby may be related to the length of the follicular phase in the conception cycle
identified_core,closed,,W199918999,1992,closed,closed,Characteristics of natural conceptual cycles occurring in a prospective study of sex preselection: fertility awareness s
identified_core,closed,https://doi.org/10.1097/nmc.0b013e3182a76b88,W2086377499,2013,closed,closed,Efficacy of Achieving Pregnancy with Fertility-Focused Intercourse
identified_core,closed,https://doi.org/10.1080/00324728.1956.10404522,W1979309125,1956,closed,closed,Fertility of polygamous marriages
identified_core,closed,https://doi.org/10.2307/2532929,W2329724894,1995,closed,closed,A Model for Estimating the Potency and Survival of Human Gametes in Vivo
identified_core,closed,https://doi.org/10.1080/0032472031000142576,W2041740887,1987,closed,closed,Reassessing the Contraceptive Effect of Breastfeeding
identified_core,closed,https://doi.org/10.1111/j.0006-341x.2000.00288.x,W2076737029,2000,closed,closed,Modeling Human Fertility in the Presence of Measurement Error
identified_core,closed,https://doi.org/10.1080/0032472031000146006,W2010854980,1992,closed,closed,Polygyny and Fertility among the Shipibo of the Peruvian Amazon
identified_core,closed,https://doi.org/10.1185/03007995.2012.681638,W1995044351,2012,closed,closed,Accuracy of perception of ovulation day in women trying to conceive
identified_core,closed,https://doi.org/10.1111/j.0006-341x.1999.01005.x,W2012433302,1999,closed,closed,A New Approach to Modeling Daily Probabilities of Conception
identified_core,closed,https://doi.org/10.1080/0032472031000142566,W2021241781,1987,closed,closed,Variations in Natural Fertility: The Effect of Lactation and Other Determinants
identified_core,closed,https://doi.org/10.1111/j.1365-3016.2006.00771.x,W2015639437,2006,closed,closed,The Oxford Conception Study design and recruitment experience
identified_core,closed,https://doi.org/10.1023/a:1006583300746,W2167734249,1997,closed,closed,Probability of conception on different days of the menstrual cycle: an ongoing exercise
identified_core,closed,https://doi.org/10.1080/00324728.1971.10405806,W2034438505,1971,closed,closed,Fecundability and coital frequency
identified_core,closed,https://doi.org/10.1111/padr.12316,W3016717053,2020,closed,closed,"Forced Displacement, Migration, and Fertility in Burundi"
identified_core,closed,https://doi.org/10.1093/humrep/dei098,W2134556895,2005,closed,closed,The use of urine LH detection kits to time intrauterine insemination with donor sperm
identified_core,closed,https://doi.org/10.1185/030079906x162863,W2128802284,2007,closed,closed,Mistiming of intercourse as a primary cause of failure to conceive: results of a survey on use of a home-use fertility m
identified_core,closed,https://doi.org/10.2307/1965462,W2058822236,1984,closed,closed,The Fertility Impact of Spousal Separation
identified_core,closed,,W36070428,1997,closed,closed,The relationship of the postcoital test and semen characteristics to pregnancy rates in 200 presumed fertile couples.
identified_core,closed,https://doi.org/10.1002/sim.2846,W2101092728,2007,closed,closed,Bayesian methods for searching for optimal rules for timing intercourse to achieve pregnancy
identified_core,closed,https://doi.org/10.1002/(sici)1097-0258(20000315)19:5<665::aid-sim391>3.0.co;2-p,W2051339396,2000,closed,closed,Accounting for unreported and missing intercourse in human fertility studies
identified_core,closed,,W2289428146,1962,closed,closed,Self-observation of the cervix to distinguish days of possible fertility.
